R1,G1,B1,ans
0.612195122,0.317073171,0.070731707,1
0.598574822,0.330166271,0.071258907,1
0.556844548,0.331786543,0.11136891,1
0.593220339,0.380145278,0.026634383,1
0.609638554,0.318072289,0.072289157,1
0.678125,0.25625,0.065625,1
0.633416459,0.296758105,0.069825436,1
0.608374384,0.320197044,0.071428571,1
0.607594937,0.321518987,0.070886076,1
0.668587896,0.265129683,0.066282421,1
0.538126362,0.337690632,0.124183007,1
0.635658915,0.294573643,0.069767442,1
0.661246612,0.27100271,0.067750678,1
0.63760218,0.294277929,0.068119891,1
0.568674699,0.310843373,0.120481928,1
0.621983914,0.308310992,0.069705094,1
0.577464789,0.316901408,0.105633803,1
0.598522167,0.330049261,0.071428571,1
0.658385093,0.276397516,0.065217391,1
0.635658915,0.294573643,0.069767442,1
0.674486804,0.2228739,0.102639296,1
0.579514825,0.350404313,0.070080863,1
0.627604167,0.302083333,0.0703125,1
0.611825193,0.318766067,0.06940874,1
0.592964824,0.336683417,0.070351759,1
0.699507389,0.128078818,0.172413793,0
0.815068493,0.116438356,0.068493151,0
0.624624625,0.165165165,0.21021021,0
0.665024631,0.15270936,0.18226601,0
0.699074074,0.143518519,0.157407407,0
0.617283951,0.182716049,0.2,0
0.39050536,0.378254211,0.231240429,0
0.648717949,0.207692308,0.143589744,0
0.438687392,0.271157168,0.29015544,0
0.784860558,0.139442231,0.075697211,0
0.535796767,0.221709007,0.242494226,0
0.69921875,0.10546875,0.1953125,0
0.074829932,0.578231293,0.346938776,0
0.587349398,0.198795181,0.213855422,0
0.424954792,0.280289331,0.294755877,0
0.735930736,0.125541126,0.138528139,0
0.729241877,0.173285199,0.097472924,0
0.495884774,0.242798354,0.261316872,0
0.554707379,0.190839695,0.254452926,0
0.582582583,0.156156156,0.261261261,0
0.6,0.1775,0.2225,0
0.936708861,0,0.063291139,0
0.788793103,0.103448276,0.107758621,0
0.70292887,0.129707113,0.167364017,0
0.87804878,0.008130081,0.113821138,0
